City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fukue,32.6881,128.8419,8.68,63,99,10.04,JP,1675453500
83,goderich,43.7501,-81.7165,-11.72,66,100,10.29,CA,1675453500
84,zhigansk,66.7697,123.3711,-38.78,98,94,3.93,RU,1675453501
85,bengkulu,-3.8004,102.2655,24.02,89,100,2.7,ID,1675453376
86,petukhovo,55.0692,67.9019,-18.58,96,49,0.65,RU,1675453501
87,pisco,-13.7,-76.2167,28.03,61,0,6.69,PE,1675453503
88,ribeira grande,38.5167,-28.7,16.54,88,75,6.26,PT,1675453505
89,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1675453508
90,manggar,-2.8833,108.2667,25.3,86,100,2.69,ID,1675453514
91,luanda,-8.8368,13.2343,26.74,79,100,6.35,AO,1675453515
92,kambove,-10.8764,26.5969,16.56,96,95,0.75,CD,1675453518
93,san cristobal,7.7669,-72.225,26.1,29,11,3.14,VE,1675453341
94,dikson,73.5069,80.5464,-15.78,96,100,0.3,RU,1675453521
95,genhe,50.7833,121.5167,-29.58,100,97,0.63,CN,1675453523
96,bonfim,3.0833,-59.95,32.11,44,97,1.83,BR,1675453524
97,kavieng,-2.5744,150.7967,27.4,76,100,2.56,PG,1675453527
98,san patricio,28.017,-97.5169,14.53,56,0,3.15,US,1675453532
99,tahe,52.3333,124.7333,-26.9,100,97,1.34,CN,1675453532
100,camana,-16.6228,-72.7111,25.24,75,57,2.89,PE,1675453532
101,hervey bay,-25.2986,152.8535,26.97,85,35,5.63,AU,1675453533
102,sibolga,1.7427,98.7792,25.04,82,100,1.16,ID,1675453533
103,east london,-33.0153,27.9116,23.45,79,89,4.6,ZA,1675453534
104,bilibino,68.0546,166.4372,-26.82,94,13,3.04,RU,1675453536
105,korsor,55.3299,11.1386,3.05,81,100,8.47,DK,1675453537
106,codrington,-38.2667,141.9667,14.7,80,100,7.69,AU,1675453537
107,upernavik,72.7868,-56.1549,-25.35,100,99,2.88,GL,1675453537
108,bredasdorp,-34.5322,20.0403,19.1,75,0,4.3,ZA,1675453538
109,parana,-31.732,-60.5238,30.87,44,20,5.25,AR,1675453273
110,puerto ayora,-0.7393,-90.3518,29.98,83,73,4.47,EC,1675453313
111,thompson,55.7435,-97.8558,-23.91,70,100,3.09,CA,1675453538
112,narsaq,60.9167,-46.05,-8.88,77,100,5.87,GL,1675453539
113,chuy,-33.6971,-53.4616,21.36,83,98,5.34,UY,1675453539
114,airai,-8.9266,125.4092,15.36,97,100,1.34,TL,1675453540
115,qaanaaq,77.484,-69.3632,-18.66,62,39,3.12,GL,1675453540
116,wewak,-3.5534,143.6268,24.82,88,100,2.69,PG,1675453540
117,tupiza,-21.45,-65.7167,13.71,70,98,3.57,BO,1675453541
118,isangel,-19.55,169.2667,27.06,94,75,1.54,VU,1675453541
119,ancud,-41.8697,-73.8203,21.81,63,3,2.48,CL,1675453541
120,filingue,14.3521,3.3168,28.2,13,99,3.23,NE,1675453542
121,tura,25.5198,90.2201,14.71,58,16,0.99,IN,1675453542
122,broome,42.2506,-75.833,-12.94,70,100,8.75,US,1675453543
123,guatica,5.3157,-75.7983,21.32,63,98,1.3,CO,1675453543
124,lebu,-37.6167,-73.65,20.27,62,0,10.41,CL,1675453543
125,kodiak,57.79,-152.4072,-1.27,80,75,1.54,US,1675453544
126,lagoa,39.05,-27.9833,15.43,81,100,5.84,PT,1675453544
127,avarua,-21.2078,-159.775,28.03,78,20,6.69,CK,1675453544
128,sananduva,-27.9497,-51.8067,21.17,90,100,1.07,BR,1675453545
129,skjervoy,70.0311,20.9714,-9.0,58,100,4.54,NO,1675453545
130,mangan,27.5167,88.5333,13.59,43,5,2.79,IN,1675453546
131,itoman,26.1247,127.6694,17.01,70,100,3.09,JP,1675453546
132,destin,30.3935,-86.4958,16.66,44,0,8.75,US,1675453326
133,qianjiang,30.4151,112.8859,4.05,59,28,2.57,CN,1675453546
134,high level,58.5169,-117.136,-16.94,78,75,1.54,CA,1675453526
135,mount gambier,-37.8333,140.7667,13.32,84,75,4.11,AU,1675453547
136,along,28.1667,94.7667,11.94,58,28,0.77,IN,1675453547
137,bodden town,19.2833,-81.25,28.0,70,75,4.12,KY,1675453548
138,arraial do cabo,-22.9661,-42.0278,29.92,58,40,7.72,BR,1675453548
139,belyy yar,53.6039,91.3903,-24.06,92,75,1.0,RU,1675453548
140,torbay,47.6666,-52.7314,0.32,96,100,16.98,CA,1675453318
141,amudat,1.95,34.95,24.17,30,98,4.02,UG,1675453549
142,yellowknife,62.456,-114.3525,-26.71,69,40,2.06,CA,1675453297
143,hay river,60.8156,-115.7999,-19.02,77,100,2.06,CA,1675453524
